CellID,total_sms,total_calls,total_activity
8205,591.4819,475.7285,6327.2714
8206,591.5915,475.7733,6327.4603
8207,573.1238,461.9079,6225.2784
8208,522.5841,446.4321,6672.705099999999
8209,526.3496,464.2131,7320.8863
8210,609.6227,534.7339,8013.641299999999
8211,991.2860000000001,824.2821,11093.3397
8212,951.6322,788.2254,10845.0464
8213,847.8084,575.6359,8765.0954
8214,729.2213,480.554,8313.9583
8215,596.1133,403.0611,7757.0898
8216,528.208,344.3304,8261.6427
8217,441.437,296.0108,8370.5489
8218,266.0318,217.5168,5543.7637
8219,274.1758,216.5944,4225.6422
8220,281.6911,221.505,4407.7344
8221,293.7449,230.852,4828.5875
8222,293.7449,230.852,4828.5875
8223,293.7449,230.852,4828.5875
8224,285.7145,224.6057,4553.8667
8225,172.86700000000002,137.78459999999998,2501.5201
8226,26.2195,26.0517,1090.6779000000001
8227,28.4735,26.7024,1095.1239
8228,34.3467,32.0756,1140.8874
8229,321.2232,333.2414,4021.8784
8230,401.2537,413.08389999999997,6464.1047
8231,467.0184,522.3129,5909.3042000000005
8232,490.8938,536.3621,6241.070900000001
8233,580.7311,521.9246,6899.309
8234,582.427,458.3785,4259.0942000000005
8235,559.799,439.9906,3814.1362
8236,611.1171,464.6666,4662.4375
8237,774.5413,544.8722,8844.433500000001
8238,615.5196,385.6921,7604.7479
8239,639.3874999999999,403.6611,7597.6669
8240,676.4989,429.7749,7056.0547
8241,696.5189,448.48859999999996,7261.8429
8242,858.7299,658.1876,11461.8179
8243,862.1126,650.7488,11460.9004
8244,889.1471,589.9401,11452.4167
8245,1253.4008999999999,565.9552,10783.1771
8246,1959.1483,507.9214,8818.1998
8247,1851.6247,472.49780000000004,7366.8294000000005
8248,1809.1108,467.0263,6929.1897
8249,1555.7641,466.3849,6845.9676
8250,656.8636,436.3135,6337.7355
8251,780.8036,722.3955,10183.768
8252,991.1617,933.3021,11983.9709
8253,881.7568,812.1954000000001,11266.6776
8254,371.1674,395.0222,4116.5109999999995
8255,292.331,323.1251,3028.8754
8256,358.7119,392.5885,4149.9965999999995
8257,692.4901,709.3747000000001,8702.878700000001
8258,628.7685,557.7182,8393.9044
8259,560.7286,467.5971,7973.9429
8260,584.875,487.4353,8148.2081
8261,696.1426,580.7038,8798.303100000001
8262,703.281,550.6507,8380.6156
8263,595.1105,434.8779,6365.9841
8264,480.7261,315.1773,4499.8444
8265,453.3545,311.3187,4415.1657
8266,394.3266,376.46,4656.4261
8267,417.2769,404.418,5031.0809
8268,591.0487,550.6244,9355.3061
8269,1903.1763,1849.0535,25993.339
8270,1416.7540999999999,1311.2328,22162.1219
8271,2805.2533,2544.873,40690.2621
8272,2713.8134,2427.1799,38068.4656
8273,2271.4051,1657.3344,22546.2508
8274,1781.7741,1281.1382,23518.2905
8275,1846.2524,1291.0922,24323.8997
8276,1981.4302,1413.6619,24089.1835
8277,1869.1983,1432.8626,22857.6244
8278,1497.0752,1278.307,19394.3875
8279,986.4875,730.9391,13180.5394
8280,969.114,694.9936,12990.2505
8281,972.1911,760.0371,13121.445
8282,941.5217,812.2291,12707.6736
8283,942.2534,812.8547,12720.5997
8284,604.4944,500.9378,8991.187
8285,680.6985,539.1439,7698.0738
8286,1063.2966000000001,859.6686,9656.6437
8287,1369.2998,1126.7472,14846.2395
8288,1342.6480999999999,1138.0991,15531.2198
8289,1317.0703,1107.9556,16620.6981
8290,1333.6187,1119.9042,16749.3762
8291,1308.84,982.9904,17575.8776
8292,847.5256,612.0169,13201.5038
8293,732.0649999999999,562.4891,10107.1875
8294,563.9605,471.9631,6743.9135
8295,487.9065,417.6084,5884.840999999999
8296,345.551,295.5007,5103.6294
8297,314.5084,255.3113,4793.5343
8298,319.3125,249.7457,4943.3485
8299,347.7986,249.627,5315.4887
8300,257.2684,161.0111,4625.1514
8301,301.73,226.4276,2497.6297
8302,339.5263,260.9019,2780.6382
8303,502.9307,399.68,5304.4517000000005
8304,590.5676,475.3568,6325.699
8305,573.7748,465.0313,6148.153499999999
8306,591.5915,475.7733,6327.4603
8307,591.5915,475.7733,6327.4603
8308,584.0413,469.4864,6265.371
8309,891.3367,655.4221,8496.7405
8310,1005.7151,802.4295999999999,10526.6788
8311,1051.1548,851.5354,11637.0898
8312,943.8414,762.2408,9764.9613
8313,739.2548,648.0373000000001,8565.4622
8314,849.2521,711.8106,11097.6436
8315,760.7613,551.6825,10556.9549
8316,483.9101,305.1524,8982.0273
8317,390.6735,269.9134,7906.4623
8318,296.0665,237.8689,6886.6458
8319,277.99039999999997,219.0685,4562.715200000001
